Timestamp,Incident_ID,Building_Level,Zone_ID,Zone_Name,Zone_X_Min,Zone_Y_Min,Zone_X_Max,Zone_Y_Max,Zone_Center_X,Zone_Center_Y,Adult_Count,Child_Count,Elderly_Count,Disabled_Count,Total_Occupancy_Raw,Fire_Alarm_Triggered,Smoke_Obscuration_Pct,Sprinkler_System_Status,Hazard_Level_Rating,Zone_Clearance_Status,Exit_Route_Passable,Evacuation_Priority_Score,Last_Manual_Sweep_Time,Event_Type,Details,PM2.5,VOC,Temperature,CO2,Humidity,Hazard_Level_Score
2026-04-01 08:00:00,MON-20260401,Level 1,Z1,Reception,6.0,12.0,34.0,44.0,20.0,28.0,5,1,1,0,7,0,3.2,Off,Low,Not Started,Yes,13.8,,Routine Monitoring,Z1 (Reception) under normal monitoring. Occupancy at 7 with no active emergency indicators.,8.32,95.77,21.8,583.43,47.57,0.0
2026-04-01 08:00:00,MON-20260401,Level 1,Z2,Workspace,36.0,12.0,64.0,44.0,50.0,28.0,17,1,1,0,19,0,2.86,Off,Low,Not Started,Yes,21.02,,Routine Monitoring,Z2 (Workspace) under normal monitoring. Occupancy at 19 with no active emergency indicators.,7.44,108.63,22.78,563.57,45.06,0.8
2026-04-01 08:00:00,MON-20260401,Level 1,Z3,MeetingRoom,66.0,12.0,94.0,44.0,80.0,28.0,7,0,1,0,8,0,3.8,Off,Low,Not Started,Yes,9.95,,Routine Monitoring,Z3 (MeetingRoom) under normal monitoring. Occupancy at 8 with no active emergency indicators.,9.88,107.63,22.01,584.98,46.27,0.29
2026-04-01 08:00:00,MON-20260401,Level 1,Z4,Pantry,6.0,56.0,34.0,88.0,20.0,72.0,5,1,0,0,6,0,4.65,Off,Low,Not Started,Yes,8.51,,Routine Monitoring,Z4 (Pantry) under normal monitoring. Occupancy at 6 with no active emergency indicators.,12.08,100.18,23.03,521.99,44.35,1.19
2026-04-01 08:00:00,MON-20260401,Level 1,Z5,Corridor,36.0,56.0,64.0,88.0,50.0,72.0,6,1,1,1,9,0,4.52,Off,Low,Not Started,Yes,21.79,,Routine Monitoring,Z5 (Corridor) under normal monitoring. Occupancy at 9 with no active emergency indicators.,11.76,104.04,21.9,567.39,45.07,0.43
2026-04-01 08:00:00,MON-20260401,Level 1,Z6,ExitArea,66.0,56.0,94.0,88.0,80.0,72.0,0,0,0,0,0,0,3.8,Off,Low,Not Started,Yes,0.0,,Routine Monitoring,Z6 (ExitArea) under normal monitoring. Occupancy at 0 with no active emergency indicators.,9.87,95.66,23.51,596.46,47.32,0.17
2026-04-01 08:05:00,MON-20260401,Level 1,Z1,Reception,6.0,12.0,34.0,44.0,20.0,28.0,7,0,1,0,8,0,3.52,Off,Low,Not Started,Yes,9.82,,Routine Monitoring,Z1 (Reception) under normal monitoring. Occupancy at 8 with no active emergency indicators.,9.14,105.12,22.11,563.68,47.48,0.0
2026-04-01 08:05:00,MON-20260401,Level 1,Z2,Workspace,36.0,12.0,64.0,44.0,50.0,28.0,16,2,2,1,21,0,4.25,Off,Low,Not Started,Yes,38.86,,Routine Monitoring,Z2 (Workspace) under normal monitoring. Occupancy at 21 with no active emergency indicators.,11.05,90.23,22.89,584.57,45.39,1.35
2026-04-01 08:05:00,MON-20260401,Level 1,Z3,MeetingRoom,66.0,12.0,94.0,44.0,80.0,28.0,5,1,2,1,9,0,4.1,Off,Low,Not Started,Yes,27.07,,Routine Monitoring,Z3 (MeetingRoom) under normal monitoring. Occupancy at 9 with no active emergency indicators.,10.67,96.23,22.63,590.95,49.73,0.51
2026-04-01 08:05:00,MON-20260401,Level 1,Z4,Pantry,6.0,56.0,34.0,88.0,20.0,72.0,4,1,1,0,6,0,4.67,Off,Low,Not Started,Yes,13.24,,Routine Monitoring,Z4 (Pantry) under normal monitoring. Occupancy at 6 with no active emergency indicators.,12.14,96.99,23.29,563.13,46.22,0.03
