Timestamp,Incident_ID,Building_Level,Zone_ID,Zone_Name,Cluster_ID,Coord_X,Coord_Y,Cluster_Size
2026-04-01 08:00:00,MON-20260401,Level 1,Z1,Reception,MON-20260401-Z1-C1,15.07,22.02,2
2026-04-01 08:00:00,MON-20260401,Level 1,Z1,Reception,MON-20260401-Z1-C2,26.22,22.15,5
2026-04-01 08:00:00,MON-20260401,Level 1,Z2,Workspace,MON-20260401-Z2-C1,44.46,22.4,5
2026-04-01 08:00:00,MON-20260401,Level 1,Z2,Workspace,MON-20260401-Z2-C2,56.06,23.23,6
2026-04-01 08:00:00,MON-20260401,Level 1,Z2,Workspace,MON-20260401-Z2-C3,48.2,34.35,5
2026-04-01 08:00:00,MON-20260401,Level 1,Z2,Workspace,MON-20260401-Z2-C4,42.33,36.05,3
2026-04-01 08:00:00,MON-20260401,Level 1,Z3,MeetingRoom,MON-20260401-Z3-C1,73.78,23.2,2
2026-04-01 08:00:00,MON-20260401,Level 1,Z3,MeetingRoom,MON-20260401-Z3-C2,86.46,22.9,6
2026-04-01 08:00:00,MON-20260401,Level 1,Z4,Pantry,MON-20260401-Z4-C1,26.93,67.84,6
2026-04-01 08:00:00,MON-20260401,Level 1,Z5,Corridor,MON-20260401-Z5-C1,45.42,66.41,1
2026-04-01 08:00:00,MON-20260401,Level 1,Z5,Corridor,MON-20260401-Z5-C2,56.38,67.45,8
2026-04-01 08:05:00,MON-20260401,Level 1,Z1,Reception,MON-20260401-Z1-C1,25.5,23.21,8
2026-04-01 08:05:00,MON-20260401,Level 1,Z2,Workspace,MON-20260401-Z2-C1,55.16,24.15,2
2026-04-01 08:05:00,MON-20260401,Level 1,Z2,Workspace,MON-20260401-Z2-C2,48.62,35.8,19
2026-04-01 08:05:00,MON-20260401,Level 1,Z3,MeetingRoom,MON-20260401-Z3-C1,72.94,22.7,6
2026-04-01 08:05:00,MON-20260401,Level 1,Z3,MeetingRoom,MON-20260401-Z3-C2,85.97,24.21,3
2026-04-01 08:05:00,MON-20260401,Level 1,Z4,Pantry,MON-20260401-Z4-C1,14.14,66.78,6
2026-04-01 08:05:00,MON-20260401,Level 1,Z5,Corridor,MON-20260401-Z5-C1,45.78,64.45,5
2026-04-01 08:05:00,MON-20260401,Level 1,Z5,Corridor,MON-20260401-Z5-C2,56.74,65.97,6
2026-04-01 08:05:00,MON-20260401,Level 1,Z6,ExitArea,MON-20260401-Z6-C1,73.17,66.13,1
2026-04-01 08:10:00,MON-20260401,Level 1,Z1,Reception,MON-20260401-Z1-C1,14.21,22.98,7
2026-04-01 08:10:00,MON-20260401,Level 1,Z2,Workspace,MON-20260401-Z2-C1,45.17,21.05,3
2026-04-01 08:10:00,MON-20260401,Level 1,Z2,Workspace,MON-20260401-Z2-C2,57.95,21.65,3
2026-04-01 08:10:00,MON-20260401,Level 1,Z2,Workspace,MON-20260401-Z2-C3,49.31,35.6,13
2026-04-01 08:10:00,MON-20260401,Level 1,Z3,MeetingRoom,MON-20260401-Z3-C1,74.91,21.67,2
2026-04-01 08:10:00,MON-20260401,Level 1,Z3,MeetingRoom,MON-20260401-Z3-C2,86.62,23.33,7
2026-04-01 08:10:00,MON-20260401,Level 1,Z4,Pantry,MON-20260401-Z4-C1,14.81,67.0,4
2026-04-01 08:10:00,MON-20260401,Level 1,Z4,Pantry,MON-20260401-Z4-C2,26.68,68.12,1
2026-04-01 08:10:00,MON-20260401,Level 1,Z5,Corridor,MON-20260401-Z5-C1,43.24,66.04,5
2026-04-01 08:10:00,MON-20260401,Level 1,Z5,Corridor,MON-20260401-Z5-C2,56.42,68.94,5
2026-04-01 08:10:00,MON-20260401,Level 1,Z6,ExitArea,MON-20260401-Z6-C1,74.03,66.25,2
2026-04-01 08:15:00,MON-20260401,Level 1,Z1,Reception,MON-20260401-Z1-C1,14.13,24.04,1
2026-04-01 08:15:00,MON-20260401,Level 1,Z1,Reception,MON-20260401-Z1-C2,26.96,22.97,6
2026-04-01 08:15:00,MON-20260401,Level 1,Z2,Workspace,MON-20260401-Z2-C1,43.84,22.29,6
2026-04-01 08:15:00,MON-20260401,Level 1,Z2,Workspace,MON-20260401-Z2-C2,55.78,24.12,11
2026-04-01 08:15:00,MON-20260401,Level 1,Z2,Workspace,MON-20260401-Z2-C3,48.54,34.9,1
2026-04-01 08:15:00,MON-20260401,Level 1,Z2,Workspace,MON-20260401-Z2-C4,42.82,35.53,2
2026-04-01 08:15:00,MON-20260401,Level 1,Z3,MeetingRoom,MON-20260401-Z3-C1,85.35,24.18,9
2026-04-01 08:15:00,MON-20260401,Level 1,Z4,Pantry,MON-20260401-Z4-C1,12.74,66.88,6
2026-04-01 08:15:00,MON-20260401,Level 1,Z4,Pantry,MON-20260401-Z4-C2,26.47,66.62,1
2026-04-01 08:15:00,MON-20260401,Level 1,Z5,Corridor,MON-20260401-Z5-C1,43.75,66.03,8
2026-04-01 08:15:00,MON-20260401,Level 1,Z5,Corridor,MON-20260401-Z5-C2,56.68,68.25,2
2026-04-01 08:15:00,MON-20260401,Level 1,Z6,ExitArea,MON-20260401-Z6-C1,73.2,64.87,1
2026-04-01 08:20:00,MON-20260401,Level 1,Z1,Reception,MON-20260401-Z1-C1,12.67,22.78,2
2026-04-01 08:20:00,MON-20260401,Level 1,Z1,Reception,MON-20260401-Z1-C2,25.61,23.05,4
2026-04-01 08:20:00,MON-20260401,Level 1,Z2,Workspace,MON-20260401-Z2-C1,42.47,22.29,3
2026-04-01 08:20:00,MON-20260401,Level 1,Z2,Workspace,MON-20260401-Z2-C2,56.38,22.65,5
2026-04-01 08:20:00,MON-20260401,Level 1,Z2,Workspace,MON-20260401-Z2-C3,49.98,33.44,2
2026-04-01 08:20:00,MON-20260401,Level 1,Z2,Workspace,MON-20260401-Z2-C4,42.66,33.88,11
2026-04-01 08:20:00,MON-20260401,Level 1,Z3,MeetingRoom,MON-20260401-Z3-C1,74.82,22.48,5
2026-04-01 08:20:00,MON-20260401,Level 1,Z3,MeetingRoom,MON-20260401-Z3-C2,86.44,23.12,3
2026-04-01 08:20:00,MON-20260401,Level 1,Z4,Pantry,MON-20260401-Z4-C1,14.54,64.12,2
2026-04-01 08:20:00,MON-20260401,Level 1,Z4,Pantry,MON-20260401-Z4-C2,26.36,68.26,3
2026-04-01 08:20:00,MON-20260401,Level 1,Z5,Corridor,MON-20260401-Z5-C1,43.61,65.3,8
2026-04-01 08:20:00,MON-20260401,Level 1,Z5,Corridor,MON-20260401-Z5-C2,55.79,67.88,1
2026-04-01 08:20:00,MON-20260401,Level 1,Z6,ExitArea,MON-20260401-Z6-C1,73.93,66.94,2
2026-04-01 08:25:00,MON-20260401,Level 1,Z1,Reception,MON-20260401-Z1-C1,25.31,21.93,8
2026-04-01 08:25:00,MON-20260401,Level 1,Z2,Workspace,MON-20260401-Z2-C1,46.0,22.3,14
2026-04-01 08:25:00,MON-20260401,Level 1,Z2,Workspace,MON-20260401-Z2-C2,49.45,35.02,8
2026-04-01 08:25:00,MON-20260401,Level 1,Z2,Workspace,MON-20260401-Z2-C3,42.89,34.9,1
2026-04-01 08:25:00,MON-20260401,Level 1,Z3,MeetingRoom,MON-20260401-Z3-C1,74.63,23.46,2
2026-04-01 08:25:00,MON-20260401,Level 1,Z3,MeetingRoom,MON-20260401-Z3-C2,86.77,22.44,6
2026-04-01 08:25:00,MON-20260401,Level 1,Z4,Pantry,MON-20260401-Z4-C1,13.25,64.89,3
2026-04-01 08:25:00,MON-20260401,Level 1,Z4,Pantry,MON-20260401-Z4-C2,24.85,68.1,2
2026-04-01 08:25:00,MON-20260401,Level 1,Z5,Corridor,MON-20260401-Z5-C1,44.0,65.3,8
2026-04-01 08:25:00,MON-20260401,Level 1,Z5,Corridor,MON-20260401-Z5-C2,56.5,65.89,2
2026-04-01 08:25:00,MON-20260401,Level 1,Z6,ExitArea,MON-20260401-Z6-C1,73.33,64.89,3
2026-04-01 08:30:00,MON-20260401,Level 1,Z1,Reception,MON-20260401-Z1-C1,13.81,23.94,6
2026-04-01 08:30:00,MON-20260401,Level 1,Z2,Workspace,MON-20260401-Z2-C1,44.2,22.44,5
2026-04-01 08:30:00,MON-20260401,Level 1,Z2,Workspace,MON-20260401-Z2-C2,56.39,22.29,4
2026-04-01 08:30:00,MON-20260401,Level 1,Z2,Workspace,MON-20260401-Z2-C3,48.53,36.05,8
2026-04-01 08:30:00,MON-20260401,Level 1,Z2,Workspace,MON-20260401-Z2-C4,42.69,35.69,5
2026-04-01 08:30:00,MON-20260401,Level 1,Z3,MeetingRoom,MON-20260401-Z3-C1,73.91,23.26,3
2026-04-01 08:30:00,MON-20260401,Level 1,Z3,MeetingRoom,MON-20260401-Z3-C2,85.73,24.87,6
2026-04-01 08:30:00,MON-20260401,Level 1,Z4,Pantry,MON-20260401-Z4-C1,14.67,66.03,5
2026-04-01 08:30:00,MON-20260401,Level 1,Z4,Pantry,MON-20260401-Z4-C2,26.12,68.17,4
2026-04-01 08:30:00,MON-20260401,Level 1,Z5,Corridor,MON-20260401-Z5-C1,45.03,65.69,4
2026-04-01 08:30:00,MON-20260401,Level 1,Z5,Corridor,MON-20260401-Z5-C2,55.46,67.97,6
2026-04-01 08:30:00,MON-20260401,Level 1,Z6,ExitArea,MON-20260401-Z6-C1,73.81,67.96,1
2026-04-01 08:35:00,MON-20260401,Level 1,Z1,Reception,MON-20260401-Z1-C1,14.74,23.36,3
2026-04-01 08:35:00,MON-20260401,Level 1,Z1,Reception,MON-20260401-Z1-C2,27.32,24.14,4
2026-04-01 08:35:00,MON-20260401,Level 1,Z2,Workspace,MON-20260401-Z2-C1,44.35,22.42,5
2026-04-01 08:35:00,MON-20260401,Level 1,Z2,Workspace,MON-20260401-Z2-C2,55.78,23.71,13
